TrainingDataset	HumanGeneID	MouseOrthologGeneID	Symbol	Synonyms	Description	EnsemblGeneID	ProteinLength	TargetP_Score	MitoDomain_Score	CoexpressionGnfN50_Score	PGC_Induction_Score	YeastMitoHomolog_Score	RickettsiaHomolog_Score	MSMS_Score	MCARTA2.0_score	MCARTA2_FDR	MCARTA2_LIST	MCARTA2_EVIDENCE	hg19_Chromosome	hg19_Start	hg19_Stop	MSMS_NUM_TISSUES	MSMS_NUM_PEPTIDES_UNIQUE	MSMS_NUM_SPECTRA	MSMS_TOTAL_INTENSITY	MSMS_PERCENT_COVERAGE	Tissues	cerebrum_total_peak_intensity_log10	cerebellum_total_peak_intensity_log10	brainstem_total_peak_intensity_log10	spinalcord_total_peak_intensity_log10	kidney_total_peak_intensity_log10	liver_total_peak_intensity_log10	heart_total_peak_intensity_log10	skeletalmuscle_total_peak_intensity_log10	adipose_total_peak_intensity_log10	smallintestine_total_peak_intensity_log10	largeintestine_total_peak_intensity_log10	stomach_total_peak_intensity_log10	placenta_total_peak_intensity_log10	testis_total_peak_intensity_log10	HPA_PrimarySubcellularLocalization_2015
Tmito	9377	12858	COX5A	COX|COX-VA|VA|P20674	cytochrome c oxidase subunit Va	ENSG00000178741	150	1	MitoDomain	49	1.91	OrthologMitoHighConf	NoHomolog	50-75pure	41.9796	0	1	"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr15	75212616	75230495	14	19	1523	4.27E+11	65	all 14	10.4	10.2	10.6	10.3	11	10.5	10.4	9.8	10.3	10.6	10.6	10.5	10.3	10.2	
Tmito	122961	74316	ISCA2	HBLD1|ISA2|c14_5557|Q86U28	iron-sulfur cluster assembly 2	ENSG00000165898	154	1	MitoDomain	28	1.07	OrthologMitoHighConf	Ortholog	75-100pure	41.9677	0	1	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	chr14	74960422	74962271	14	10	163	3.99E+09	79	all 14	8.4	8.4	8.7	8.3	8.8	8.2	7.9	7.2	8.7	8.5	8.4	8	8.5	8.5	
Tmito	9512	73078	PMPCB	Beta-MPP|MPP11|MPPB|MPPP52|P-52|O75439	peptidase (mitochondrial processing) beta	ENSG00000105819	489	1	MitoDomain	42	0.74	OrthologMitoLowConf	Homolog	50-75pure	41.6397	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	chr7	102937872	102955133	14	22	275	2.37E+10	55	all 14	9	6.8	9.1	8.7	9.8	8.7	9.6	8	9	9.6	8.9	9.2	9.4	9	"Mitochondria (APE, Uncertain)"
Tmito	7386	66694	UQCRFS1	RIP1|RIS1|RISP|UQCR5|P47985	"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"	ENSG00000169021	274	2	MitoDomain	48		OrthologMitoHighConf	Ortholog	75-100pure	40.7667	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	chr19	29698166	29704136	14	28	3522	2.78E+11	77	all 14	10.5	10.4	10.7	10.2	10.5	10.3	10.5	9.7	10	10.2	10.1	10	10.1	10	"Mitochondria (APE, Supportive)"
Tmito	498	11946	ATP5A1	ATP5A|ATP5AL2|ATPM|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1|P25705	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"	ENSG00000152234	553	1	SharedDomain	48	1.53	OrthologMitoHighConf	Homolog	75-100pure	40.7095	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	chr18	43664109	43684199	14	71	14666	2.25E+12	80	all 14	11.2	10.8	11.2	10.9	11.5	11	11.6	11.1	11.1	11.4	11	11.3	11.2	10.5	"Mitochondria (APE, Supportive)"
Tmito	4967	18293	OGDH	AKGDH|E1k|OGDC|Q02218	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	ENSG00000105953	1023	2	MitoDomain	46	3.07	OrthologMitoLowConf	Homolog	50-75pure	40.5677	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	chr7	44646120	44748669	14	106	8271	7.16E+11	71	all 14	10.6	10.6	10.9	9.9	11.1	9.9	10.8	10.9	10.6	10.8	10.7	10.7	10.5	10.4	"Mitochondria (APE, Supportive)"
Tmito	5162	68263	PDHB	PDHBD|PDHE1-B|PHE1B|P11177	pyruvate dehydrogenase (lipoamide) beta	ENSG00000168291	359	2	MitoDomain	47	1.67	OrthologMitoLowConf	Homolog	50-75pure	40.5677	0	1	"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	chr3	58413356	58419579	14	22	1918	1.96E+11	74	all 14	10.2	9.9	10.3	10.2	10	9.6	10.5	9.8	10.4	9.8	9.9	9.9	10	10.5	"Mitochondria (APE, Supportive)"
Tmito	7385	67003	UQCRC2	MC3DN5|QCR2|UQCR2|P22695	ubiquinol-cytochrome c reductase core protein II	ENSG00000140740	453	2	MitoDomain	45	1.79	OrthologMitoLowConf	Homolog	50-75pure	40.5677	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	chr16	21964608	21994668	14	36	4282	4.09E+11	61	all 14	10.5	10	10.3	10.3	10.6	10.3	10.9	10.4	10.3	10.7	10.5	10.5	10.2	10.2	"Mitochondria (APE, Supportive)"
Tmito	6392	66925	SDHD	CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS|O14521	"succinate dehydrogenase complex, subunit D, integral membrane protein"	ENSG00000204370	159	3	MitoDomain	45	2.02	OrthologMitoHighConf	Ortholog	25-50pure	40.1392	0	1	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	chr11	111957547	111966525	14	4	221	5.87E+09	28	all 14	8.8	8.3	8.5	7.8	8.9	8.6	8.4	8.3	8.4	8.9	8.6	8.5	8.7	8.9	
Tmito	60488	232536	MRPS35	MDS023|MRP-S28|MRPS28|P82673	mitochondrial ribosomal protein S35	ENSG00000061794	323	2	MitoDomain	43	1.81	OrthologMitoHighConf	NoHomolog	50-75pure	39.6435	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr12	27863705	27909237	14	22	144	3.27E+09	57	all 14	8.4	8	8.1	6.8	8.2	7.4	7.8	8	8.5	8.5	8.8	7.7	9	8.1	"Mitochondria (APE, Supportive)"
Tmito	27089	22272	UQCRQ	MC3DN4|QCR8|QP-C|QPC|UQCR7|O14949	"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"	ENSG00000164405	82	2	MitoDomain	47	0.66	OrthologMitoHighConf	NoHomolog	75-100pure	39.3103	0	1	"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr5	132202318	132204536	14	16	1153	9.68E+10	93	all 14	9.9	9.6	9.9	9.6	10.2	9.8	9.8	9.2	9.8	10	10.1	9.8	9.6	9.5	"Mitochondria (APE, Supportive)"
Tmito	116540	68499	MRPL53	L53MT|Q96EL3	mitochondrial ribosomal protein L53	ENSG00000204822	112	2	MitoDomain	47	0.6	OrthologMitoHighConf	NoHomolog	75-100pure	39.3103	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr2	74699084	74699942	14	13	157	4.34E+09	92	all 14	8.4	8.2	8.4	8.1	8.6	8.6	7.7	7.1	8.3	8.6	8.9	8.2	8.9	8.4	"Nucleoli (APE, Uncertain)"
Tmito	1629	13171	DBT	BCATE2|BCKAD-E2|BCKADE2|E2|E2B|P11182	dihydrolipoamide branched chain transacylase E2	ENSG00000137992	482	1	MitoDomain	34	2.32	OrthologMitoLowConf	Homolog	50-75pure	39.2448	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++"	chr1	100652477	100715409	14	33	809	3.27E+10	67	all 14	8.5	7.7	8.4	8.4	9.9	9.6	9.2	8.6	9.8	9.2	9.1	9.9	9.2	8.9	"Mitochondria (APE, Supportive)"
Tmito	5166	27273	PDK4	Q16654	"pyruvate dehydrogenase kinase, isozyme 4"	ENSG00000004799	411	2	MitoDomain	18	1.77	OrthologMitoHighConf	Ortholog	50-75pure	38.7139	0	1	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	chr7	95212808	95225925	13	21	76	2.81E+09	63	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, testis"	7.2	5.2	7.6	7.2	7.2	7.3	7.7	9.3	8.4	8.1	7.6	7.4		7.9	
Tmito	4191	17448	MDH2	M-MDH|MDH|MGC:3559|MOR1|P40926	"malate dehydrogenase 2, NAD (mitochondrial)"	ENSG00000146701	338	2	SharedDomain	50	1.54	OrthologMitoHighConf	Homolog	75-100pure	38.3734	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	chr7	75677336	75696827	14	42	6117	1.44E+12	79	all 14	11.1	10.8	11.2	10.9	10.9	10.6	11.4	10.6	11	11.3	10.9	10.8	11	10.6	"Mitochondria (APE, Supportive)"
Tmito	23107	218506	MRPS27	MRP-S27|S27mt|Q92552	mitochondrial ribosomal protein S27	ENSG00000113048	428	1	MitoDomain	32	1.87	OrthologMitoHighConf	NoHomolog	50-75pure	38.3207	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++"	chr5	71515235	71616084	13	23	128	2.90E+09	54	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"	7.9	7.3	7.4	8	8.3	7.8		7.7	8.4	8.8	8.7	8.3	8.8	8.3	
Tmito	1431	12974	CS	O75390	citrate synthase	ENSG00000062485	466	3	SharedDomain	48	2.32	OrthologMitoHighConf	Ortholog	50-75pure	37.826	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	chr12	56665482	56694175	14	33	3539	3.46E+11	59	all 14	10.4	10	10.3	10.2	10.1	10	10.8	10.4	10.4	10.7	10.2	10.5	10.4	10.2	"Mitochondria (APE, Supportive)"
Tmito	80273	17713	GRPEL1	HMGE|Q9HAV7	"GrpE-like 1, mitochondrial (E. coli)"	ENSG00000109519	217	1	MitoDomain	43	1.53	HomologMitoLowConf	Homolog	50-75pure	37.8199	0	1	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	chr4	7061779	7069800	14	24	495	3.14E+10	74	all 14	9.4	9.2	9.3	9	9.6	9.6	9.2	8	9.3	9.3	9.2	9	9.8	9.1	"Mitochondria (APE, Supportive)"
Tmito	1737	235339	DLAT	DLTA|PDC-E2|PDCE2|P10515	dihydrolipoamide S-acetyltransferase	ENSG00000150768	647	4	MitoDomain	41	2.68	OrthologMitoLowConf	Homolog	50-75pure	37.7551	0	1	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	chr11	111895537	111935002	14	36	2960	3.70E+11	60	all 14	10.6	10.3	10.7	10.5	10.4	9.8	10.4	10.5	10.5	9.9	10.1	10.1	10.1	10.5	"Mitochondria (APE, Supportive)"
Tmito	10128	72416	LRPPRC	CLONE-23970|GP130|LRP130|LSFC|P42704	leucine-rich pentatricopeptide repeat containing	ENSG00000138095	1394	1	SharedDomain	47	2.59	OrthologMitoHighConf	NoHomolog	75-100pure	37.7054	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	chr2	44113362	44223144	14	145	5900	2.76E+11	90	all 14	10.2	10.4	10.4	9.4	10.8	9.8	9.6	10.3	9.9	10.2	10.5	10.2	10.2	10.5	"Mitochondria (APE, Supportive)"
Tmito	1743	78920	DLST	DLTS|P36957	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	ENSG00000119689	453	2	MitoDomain	42	1.79	OrthologMitoLowConf	Homolog	25-50pure	37.6758	0	1	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	chr14	75348593	75370450	14	27	1780	1.09E+11	46	all 14	9.7	9.3	9.7	9.7	10.2	9.6	10.1	9.7	9.9	10.3	9.6	9.9	9.9	9.3	"Nucleus (APE, Uncertain)"
Tmito	8050	27402	PDHX	DLDBP|E3BP|OPDX|PDX1|proX|O00330	"pyruvate dehydrogenase complex, component X"	ENSG00000110435	501	2	MitoDomain	41	2.28	OrthologMitoLowConf	Homolog	25-50pure	37.6758	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	chr11	34937676	35017675	14	26	569	1.86E+10	49	all 14	9.3	8.7	9.3	8.8	9	8.3	9.5	9.3	9.4	8.7	8.6	8.9	8.9	9.2	"Nucleus;Plasma membrane (APE, Uncertain)"
Tmito	85476	28030	GFM1	COXPD1|EFG|EFG1|EFGM|EGF1|GFM|hEFG1|Q96RP9	"G elongation factor, mitochondrial 1"	ENSG00000168827	751	2	SharedDomain	48	2.39	OrthologMitoHighConf	Homolog	50-75pure	37.4426	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	chr3	158362316	158410360	14	48	643	1.46E+10	58	all 14	8.9	8.8	8.8	8.9	9.6	8.9	8.3	9	9	8.7	9.1	8.7	9.2	8.6	"Cytoskeleton (Microtubules) (APE, Uncertain)"
Tmito	25874	70456	MPC2	BRP44|O95563	mitochondrial pyruvate carrier 2	ENSG00000143158	127	5	MitoDomain	41	3.21	OrthologMitoHighConf	NoHomolog	75-100pure	37.3563	0	1	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr1	167885912	167906307	14	11	1602	8.40E+10	82	all 14	9.6	9.5	9.8	9.4	10.4	10	9.5	9.6	9.6	9.5	9.3	9.5	9.3	10	
Tmito	4719	227197	NDUFS1	CI-75Kd|CI-75k|PRO1304|P28331	"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)"	ENSG00000023228	741	2	MitoDomain	47	1.65	NoMitoHomolog	Ortholog	75-100pure	36.8031	0	1	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	chr2	206987802	207024243	14	61	6001	4.88E+11	81	all 14	10.7	10.5	10.7	10.6	10.9	10.1	10.6	10.7	10.4	10.5	10.4	10.5	10.2	9.9	"Mitochondria (APE, Supportive)"
Tmito	26589	67308	MRPL46	C15orf4|LIECG2|P2ECSL|Q9H2W6	mitochondrial ribosomal protein L46	ENSG00000259494	279	1	SharedDomain	41	3.04	OrthologMitoHighConf	NoHomolog	50-75pure	36.7746	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	chr15	89002708	89010633	11	16	133	2.49E+09	52	"cerebrum, cerebellum, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, placenta, testis"	7.9	7.4		8	8.2	8.4	7.6		8.2	8.3	8.4		8.9	8.5	"Mitochondria (APE, Supportive)"
Tmito	514	67126	ATP5E	ATPE|MC5DN3|P56381	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"	ENSG00000124172	51	4	MitoDomain	47	0.54	OrthologMitoHighConf	NoHomolog	75-100pure	36.4978	0	1	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr20	57603732	57607422	14	13	205	1.65E+10	85	all 14	9.3	9	9	7.8	9.5	9.1	8.7	8.7	8.9	9.5	6.8	9.2	8.1	9.1	
Tmito	5250	18674	SLC25A3	PHC|PTP|Q00325	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"	ENSG00000075415	362	4	MitoDomain	50	1.22	OrthologMitoHighConf	NoHomolog	75-100pure	36.4978	0	1	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr12	98987402	98995778	14	31	5280	4.91E+11	76	all 14	10.6	10.3	10.8	10.6	10.6	10.2	10.7	10	10.4	10.7	10.4	10.5	10.7	10.4	"Mitochondria (APE, Supportive)"
Tmito	51649	64656	MRPS23	HSPC329|MRP-S23|Q9Y3D9	mitochondrial ribosomal protein S23	ENSG00000181610	190	5	MitoDomain	45	1.37	OrthologMitoHighConf	NoHomolog	75-100pure	36.0922	0	1	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr17	55916286	55927433	14	14	212	5.38E+09	75	all 14	8.7	8.5	8.7	8.4	8.5	8.5	8	7.6	8.7	8.5	9.2	8.1	8.7	8.3	"Nuclear membrane;Mitochondria (APE, Supportive)"
Tmito	2271	14194	FH	HLRCC|LRCC|MCL|MCUL1|P07954	fumarate hydratase	ENSG00000091483	510	1	SharedDomain	47	1.71	HomologMitoHighConf	Homolog	75-100pure	35.7616	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	chr1	241660856	241683085	14	42	2540	1.69E+11	80	all 14	9.7	9	9.7	9.7	10.4	9.5	10.5	10	10.1	10.4	9.9	10.2	10.2	9.5	"Mitochondria (APE, Supportive)"
Tmito	23203	66865	PMPCA	Alpha-MPP|INPP5E|P-55|Q10713	peptidase (mitochondrial processing) alpha	ENSG00000165688	525	1	MitoDomain	27	-0.55	OrthologMitoHighConf	Homolog	50-75pure	35.653	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression, MS/MS++"	chr9	139305024	139318213	14	31	576	1.60E+10	66	all 14	8.5	8.2	8.2	8.5	9.2	8.4	8.4	8.4	9.4	9.1	8.9	8.7	9.8	9.3	"Mitochondria (Staining, Uncertain)"
Tmito	506	11947	ATP5B	ATPMB|ATPSB|HEL-S-271|P06576	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	ENSG00000110955	529	1	SharedDomain	49		OrthologMitoHighConf	Homolog	75-100pure	35.6372	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	chr12	57031958	57039852	14	39	17053	2.40E+12	86	all 14	11.2	10.9	11.1	11	11.4	11	11.6	11.2	11.2	11.5	11.1	11.4	11.2	10.7	"Mitochondria (APE, Supportive)"
Tpossible_mito	135154	68002	C6orf57	Q5VUM1	chromosome 6 open reading frame 57	ENSG00000154079	108	4	MitoDomain	44	1.38	OrthologMitoHighConf	Ortholog	25-50ambig	35.5098	0	1	"yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS"	chr6	71276624	71298606	2	4	10	1.48E+08	38	"adipose, testis"									8					7.7	"Mitochondria (APE, Uncertain)"
Tmito	29796	66152	UQCR10	HSPC051|HSPC151|QCR9|UCCR7.2|UCRC|Q9UDW1	"ubiquinol-cytochrome c reductase, complex III subunit X"	ENSG00000184076	63		MitoDomain	49	2.3	OrthologMitoHighConf	NoHomolog	75-100pure	35.3274	0	1	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	chr22	30163357	30166402	14	12	449	2.67E+10	98	all 14	9.8	9.5	9.6	8.2	9.3	9.2	8.6	8.7	8.9	9.5	7	9	9	9.3	
Tmito	81689	69046	ISCA1	HBLD2|ISA1|RP11-507D14.2|hIscA|Q9BUE6	iron-sulfur cluster assembly 1	ENSG00000135070	129	2	MitoDomain	NA	1.55	OrthologMitoHighConf	Ortholog	75-100pure	35.264	0	1	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, MS/MS++"	chr9	88879462	88897490	13	13	117	3.28E+09	83	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"	8.8	8.5	8.6	8.5		7.5	7.7	7.3	8	7.9	7.9	7.7	8.8	8.8	
